TaggedPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,SpeedDrop,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2
Fastball,92.13711,-3.56929,-2.725836,2256.233319,204.600948,12:45,6.04082,0.4609,6.46816,-11.28804,21.44966,9.27367,1.81399,-1.27173,83.17788,-5.807866,-1.045962,0.411809,-5.69666,12.68005,-0.27228,50,5.78313,5.97071,-133.42986,-8.55307,-10.13084,32.3377,-9.6241,91.52903,8.95923,54.02982,-134.40297,16.16885,6.03615,-8.26346,-4.81205,-0.45654,6.27557,-5.06542
Fastball,93.24581,-3.196352,-2.823115,2253.072616,199.769167,12:45,6.15162,0.33434,6.11065,-9.4293,22.97556,7.8313,2.40356,-1.62566,84.05306,-5.089667,-1.41463,0.40971,-4.87374,13.12024,-0.1212,50,5.90033,6.30167,-134.95147,-7.70052,-8.87247,32.88794,-8.28916,91.99791,9.19275,54.38509,-136.01593,16.44397,6.14523,-7.43223,-4.14458,-0.3298,6.58883,-4.43624
Slider,79.72575,-0.251556,-1.339742,2236.381677,101.074038,9:15,5.7937,1.17826,5.72683,-40.16333,5.05264,-17.12371,2.21239,-1.49676,71.81562,-7.684745,-4.403714,0.483969,8.28993,3.11725,-1.05554,50,5.74821,3.3624,-115.54888,-1.78242,10.9287,26.52819,-28.06453,77.88197,7.91013,54.77209,-116.63933,13.26409,5.79777,-0.62882,-14.03227,-1.18452,2.91318,5.46435
Fastball,90.46009,-3.217925,-1.99037,2343.234468,226.863872,1:30,5.83428,1.28793,5.6223,-16.9167,18.39773,18.16777,1.41657,0.94372,81.0993,-6.449156,1.253786,0.427708,-9.89674,10.81323,-1.1302,50,5.54906,3.733,-130.83934,-7.86835,-16.78014,33.23972,-13.83998,88.12653,9.36079,54.87576,-132.07223,16.61986,5.83138,-7.35502,-6.91999,-1.2802,4.35538,-8.39007
ChangeUp,85.62467,-2.628333,-1.586365,1057.098925,239.008987,2:00,5.80986,1.28048,5.49301,-31.09565,7.76528,10.81225,0.75717,0.69713,78.48024,-8.329163,0.342805,0.448671,-5.96662,5.03382,-1.14932,50,5.55852,2.98978,-124.15744,-6.78701,-9.27934,25.70883,-24.3454,84.0091,7.14443,55.00809,-125.19015,12.85441,5.81151,-5.80907,-12.1727,-1.2769,3.36253,-4.63967
Fastball,86.08141,-1.492433,-1.954976,1510.885387,246.805355,2:15,5.75813,1.36247,5.66273,-28.61513,9.78418,19.72985,1.98071,1.1829,78.19551,-6.804941,1.573451,0.445998,-10.71186,5.80126,-1.21022,50,5.61383,3.44833,-124.85552,-4.21345,-16.72773,27.65549,-23.11479,84.5125,7.8859,54.83843,-125.92267,13.82775,5.75921,-3.32151,-11.5574,-1.35573,4.0938,-8.36387
Fastball,91.32976,-0.588088,-1.568751,2296.257622,224.527698,1:30,5.81057,1.1144,5.62178,-15.62729,18.87068,17.27958,3.95926,1.09001,81.74191,-3.603459,1.516034,0.422735,-9.14256,10.06623,-0.99132,50,5.75059,2.80616,-132.28706,-1.80307,-15.88106,33.41716,-14.68854,89.1633,9.58786,54.87312,-133.51239,16.70858,5.80683,-1.26448,-7.34427,-1.10489,3.38848,-7.94053
Fastball,91.37436,-2.066481,-2.879034,2271.59114,225.636576,1:30,5.73649,1.29362,5.80485,-16.32347,18.01418,17.06166,2.45106,0.0356,81.79217,-5.209515,0.174633,0.421752,-9.57201,10.22197,-1.06692,50,5.55701,5.86662,-132.20718,-5.24165,-16.59182,33.6108,-14.45557,89.37116,9.5822,54.69091,-133.39441,16.8054,5.73315,-4.73104,-7.22779,-1.28449,6.45269,-8.29591
Slider,77.46525,0.689641,-1.69295,2196.159625,108.993566,9:45,5.62317,1.37561,5.37661,-41.95345,5.94902,-12.6039,2.7739,-1.26231,70.5593,-7.008443,-3.9316,0.498139,5.78386,3.27839,-1.21486,50,5.65566,3.81949,-112.30475,-0.02529,7.31815,22.10206,-28.02602,75.66656,6.90595,55.1216,-113.30822,11.05103,5.62793,1.24714,-14.01301,-1.38073,3.48723,3.65908
Fastball,91.99746,-2.202634,-2.178745,2332.265285,229.534612,1:45,5.69975,1.38942,5.7352,-16.4521,17.39206,18.89363,2.27507,0.93398,82.62272,-5.353101,1.201245,0.41871,-10.32284,9.93823,-1.21962,50,5.50628,4.21439,-133.22806,-5.62254,-18.20637,33.62156,-14.646,90.02045,9.37473,54.76306,-134.4247,16.81078,5.69712,-5.10127,-7.323,-1.38115,4.86238,-9.10319
ChangeUp,85.66144,-3.006722,-2.012219,1427.543535,201.68452,12:45,5.72085,1.30634,5.58206,-21.56698,17.13343,6.30512,1.11127,-0.04824,78.35439,-7.033796,-0.887289,0.447744,-3.77425,9.91729,-1.13755,50,5.44812,4.09865,-124.13657,-7.20369,-5.87814,25.29232,-16.72855,84.1831,7.30705,54.91745,-125.13447,12.64616,5.71932,-6.54367,-8.36428,-1.30384,4.33057,-2.93907
Fastball,91.62429,-2.309925,-3.003307,2299.082058,223.734625,1:30,5.78556,1.33897,5.67616,-14.69654,19.4308,17.38438,2.40324,-0.01479,82.47123,-5.142895,0.099763,0.420458,-9.77737,10.95922,-1.09663,50,5.58151,6.1715,-132.62128,-5.77655,-17.15403,32.31137,-12.94654,89.64615,9.15306,54.82235,-133.79102,16.15569,5.78215,-5.30785,-6.47327,-1.3313,6.79251,-8.57701
Fastball,92.63234,-0.549265,-1.933109,2242.598634,216.485064,1:15,5.76269,1.26545,5.60129,-16.64887,17.00477,11.61587,3.8622,0.42805,82.7013,-3.744716,0.139088,0.41753,-6.46437,9.11985,-1.10723,50,5.70519,3.9708,-134.09771,-1.79524,-11.51116,34.96299,-15.93427,90.27485,9.93104,54.89305,-135.36745,17.4815,5.75988,-1.21656,-7.96714,-1.25903,4.38885,-5.75558
Fastball,86.5387,-1.287737,-1.710803,1417.167512,203.159441,12:45,5.80595,1.39581,5.63664,-20.74509,17.02556,6.75429,2.87505,0.36208,78.92688,-5.189898,-0.504755,0.442332,-3.90807,9.36752,-1.2547,50,5.68335,3.46309,-125.55885,-3.46947,-6.22393,25.98665,-17.25555,85.21292,7.61182,54.86197,-126.56112,12.99333,5.80433,-2.80395,-8.62777,-1.3929,3.70314,-3.11197
Fastball,91.3964,-1.705407,-0.740627,2171.969118,233.884005,1:45,5.88643,1.38542,5.69678,-19.16895,14.98564,18.85686,2.69913,2.26659,82.50957,-5.32815,2.632659,0.420626,-9.77882,8.51028,-1.33502,50,5.73149,0.85933,-132.5164,-4.56373,-17.13245,32.21087,-17.26408,89.61038,8.88683,54.80145,-133.6784,16.10544,5.88489,-3.94094,-8.63204,-1.37717,1.47738,-8.56622
Fastball,90.3162,-0.836967,-3.404752,2168.863848,226.502569,1:30,5.78918,1.26389,5.56397,-18.24883,17.15591,16.66465,3.48509,-0.53195,80.88063,-4.318431,-0.43833,0.428255,-9.46938,9.29863,-0.98071,50,5.70522,7.00078,-130.65088,-2.47679,-16.06412,32.28723,-16.39961,88.01405,9.43557,54.93214,-131.8641,16.14362,5.78671,-1.86055,-8.1998,-1.25511,7.60441,-8.03206
